Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0178877960760716,0.0306292654574009,0.0302130108442199,0,0,0,0.0294576750345769,6.57795592618768E-06,2.68754607924579E-23,-5.59962051630292E-11,3.00217496863448E-06,2.44210051738576E-10,6.57784516547106E-06,0,0,0,0,0,0,package://Assem grabber.SLDASM/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Assem grabber.SLDASM/meshes/base_link.STL,,top central part-1;side part-2;side part-4;side part-1;side part-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
Flexible_link_1,0.025,-0.00400000000000001,0.0005,0,0,0,0.000425132741228719,2.34469025037008E-09,6.82424005356248E-24,1.0009956839209E-25,1.03519320184986E-07,-5.17122146115134E-26,1.05793154978484E-07,0,0,0,0,0,0,package://Assem grabber.SLDASM/meshes/Flexible_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem grabber.SLDASM/meshes/Flexible_link_1.STL,,flexible part-1/flexible part 1-2,,,Flexible_link_1,revolute,0.036666,-0.033714,0.02858,1.5708,1.1855,0,base_link,0,0,0,0,0,0,0,,,,,,,,0
Arm_Link_1,0.00699462575180507,-0.0160544117663347,0.0015,0,0,0,0.00636891311174936,2.70980541999786E-06,1.62840868050855E-06,-1.19386526352088E-23,1.55344457107788E-06,3.95235246399399E-24,4.25369662140811E-06,0,0,0,0,0,0,package://Assem grabber.SLDASM/meshes/Arm_Link_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Assem grabber.SLDASM/meshes/Arm_Link_1.STL,,bottom_arm-4,,,Arm_Link_1,revolute,0.056537,-0.00036242,-0.005,0,0,1.0719,Flexible_link_1,0,0,0,0,0,0,0,,,,,,,,0
Flexible_link_2,0.025,-0.00400000000000001,0.000500000000000004,0,0,0,0.000425132741228718,2.34469025037008E-09,2.02659250075492E-23,-1.83983484730099E-25,1.03519320184986E-07,3.31721906726946E-26,1.05793154978484E-07,0,0,0,0,0,0,package://Assem grabber.SLDASM/meshes/Flexible_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem grabber.SLDASM/meshes/Flexible_link_2.STL,,flexible part-2/flexible part 1-2,,,Flexible_link_2,revolute,-0.00088996,-0.026714,0.02858,1.5708,1.1855,-3.1416,base_link,0,0,0,0,0,0,0,,,,,,,,0
Arm_Link_2,0.0069946257518051,-0.0160544117663347,0.0015,0,0,0,0.00636891311174937,2.70980541999786E-06,1.62840868050855E-06,-5.51258956577989E-22,1.55344457107788E-06,5.37465042748954E-22,4.25369662140812E-06,0,0,0,0,0,0,package://Assem grabber.SLDASM/meshes/Arm_Link_2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Assem grabber.SLDASM/meshes/Arm_Link_2.STL,,bottom_arm-2,,,Arm_Link_2,revolute,0.056537,-0.00036242,-0.005,0,0,1.0719,Flexible_link_2,0,0,0,0,0,0,0,,,,,,,,0
Flexible_link_3,0.025,-0.004,0.0005,0,0,0,0.000425132741228718,2.34469025037008E-09,-2.90030202276405E-23,-9.4032970999093E-24,1.03519320184986E-07,-1.02253139093414E-25,1.05793154978484E-07,0,0,0,0,0,0,package://Assem grabber.SLDASM/meshes/Flexible_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem grabber.SLDASM/meshes/Flexible_link_3.STL,,flexible part-3/flexible part 1-2,,,Flexible_link_3,revolute,0.021388,-0.067785,-0.017753,1.5708,-1.1855,1.5708,base_link,0,0,0,0,0,0,0,,,,,,,,0
Arm_Link_3,0.00699462575180507,-0.0160544117663347,0.0015,0,0,0,0.00636891311174937,2.70980541999787E-06,1.62840868050855E-06,-8.65326522436964E-23,1.55344457107788E-06,3.37665415382407E-22,4.25369662140812E-06,0,0,0,0,0,0,package://Assem grabber.SLDASM/meshes/Arm_Link_3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Assem grabber.SLDASM/meshes/Arm_Link_3.STL,,bottom_arm-3,,,Arm_Link_3,revolute,-0.0065373,-0.00036242,-0.002,-3.1416,0,2.0697,Flexible_link_3,0,0,0,0,0,0,0,,,,,,,,0
Flexible_link_4,0.025,-0.004,0.000499999999999997,0,0,0,0.000425132741228718,2.34469025037009E-09,1.56130340619384E-23,3.72793290407271E-24,1.03519320184986E-07,5.08173415936527E-25,1.05793154978484E-07,0,0,0,0,0,0,package://Assem grabber.SLDASM/meshes/Flexible_link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem grabber.SLDASM/meshes/Flexible_link_4.STL,,flexible part-4/flexible part 1-2,,,Flexible_link_4,revolute,0.021388,-0.011436,0.02858,1.5708,1.1855,1.5708,base_link,0,0,0,0,0,0,0,,,,,,,,0
Arm_Link_4,0.00699462575180507,-0.0160544117663347,0.0015,0,0,0,0.00636891311174936,2.70980541999786E-06,1.62840868050855E-06,3.56325265067872E-22,1.55344457107788E-06,-3.8290250044664E-22,4.25369662140812E-06,0,0,0,0,0,0,package://Assem grabber.SLDASM/meshes/Arm_Link_4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Assem grabber.SLDASM/meshes/Arm_Link_4.STL,,bottom_arm-1,,,Arm_Link_4,revolute,0.056537,-0.00036242,-0.005,0,0,1.0719,Flexible_link_4,0,0,0,0,0,0,0,,,,,,,,0
Slider,-0.00999999999999999,-0.0109699555847652,0.00999999999999998,0,0,0,0.0345519950256604,7.79369022074973E-06,6.04304838686463E-21,-7.85175347071821E-23,3.38753866003025E-06,2.46471660623838E-21,7.79369022074974E-06,0,0,0,0,0,0,package://Assem grabber.SLDASM/meshes/Slider.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Assem grabber.SLDASM/meshes/Slider.STL,,arm_bottom-1,,,Slider,prismatic,0.0078878,-0.020214,0,1.5708,0,1.5708,base_link,0,1,0,0,0,-0.0010462,0.0089538,,,,,,,,0
Arm_1,0.00699462575180508,-0.0160544117663347,0.0015,0,0,0,0.00636891311174936,2.70980541999786E-06,1.62840868050855E-06,3.55681287168556E-22,1.55344457107788E-06,-3.88723223341081E-22,4.25369662140812E-06,0,0,0,0,0,0,package://Assem grabber.SLDASM/meshes/Arm_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Assem grabber.SLDASM/meshes/Arm_1.STL,,bottom_arm-1,,,Arm_1,revolute,0.029693,-0.023947,0.0085,0,0,-0.11356,Slider,0,0,0,0,0,0,0,,,,,,,,0
Arm_2,0.0069946257518051,-0.0160544117663347,0.0015,0,0,0,0.00636891311174937,2.70980541999786E-06,1.62840868050855E-06,-5.48989445133751E-22,1.55344457107788E-06,5.38849277470755E-22,4.25369662140812E-06,0,0,0,0,0,0,package://Assem grabber.SLDASM/meshes/Arm_2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Assem grabber.SLDASM/meshes/Arm_2.STL,,bottom_arm-2,,,Arm_2,revolute,-0.0115,-0.023947,-0.029693,-1.5708,1.4572,-1.5708,Slider,0,0,0,0,0,0,0,,,,,,,,0
Arm_3,0.00699462575180508,-0.0160544117663347,0.0015,0,0,0,0.00636891311174937,2.70980541999786E-06,1.62840868050855E-06,-8.43635354093298E-23,1.55344457107788E-06,3.38241150243246E-22,4.25369662140812E-06,0,0,0,0,0,0,package://Assem grabber.SLDASM/meshes/Arm_3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Assem grabber.SLDASM/meshes/Arm_3.STL,,bottom_arm-3,,,Arm_3,revolute,-0.049693,-0.023947,0.0115,-3.1416,0,-3.028,Slider,0,0,0,0,0,0,0,,,,,,,,0
Arm_4,0.00699462575180507,-0.0160544117663347,0.0015,0,0,0,0.00636891311174936,2.70980541999786E-06,1.62840868050855E-06,-1.39133023319807E-23,1.55344457107788E-06,3.17262633118344E-24,4.25369662140811E-06,0,0,0,0,0,0,package://Assem grabber.SLDASM/meshes/Arm_4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Assem grabber.SLDASM/meshes/Arm_4.STL,,bottom_arm-4,,,Arm_4,revolute,-0.0085,-0.023947,0.049693,1.5708,-1.4572,-1.5708,Slider,0,0,0,0,0,0,0,,,,,,,,0
